"","taxon","mean_LA_cm2","mean_LDMC","mean_SLA_cm2_g","mean_LA_mm2","mean_LDMC_pc","mean__SLA_mm2_mg"
"1","Acaena cylindristachya",6.23723333333333,0.315559814566683,49.153395012653,623.723333333333,31.5559814566683,4.9153395012653
"2","Anatherostipa hans-meyeri",0.381470888888889,0.590211730775213,72.55042435194,38.1470888888889,59.0211730775213,7.255042435194
"3","Antennaria linearifolia",1.17165535714286,0.339459411818421,125.73056697203,117.165535714286,33.9459411818421,12.573056697203
"4","Aphanactis villosa",0.841437192982456,0.20413446605373,206.455938449781,84.1437192982456,20.413446605373,20.6455938449781
"5","Azorella biloba",1.61474444444444,0.262460656613167,89.7059351276743,161.474444444444,26.2460656613167,8.97059351276743
"6","Baccharis caespitosa",NA,NA,NA,NA,NA,NA
"7","Baccharis genistelloides",NA,0.434804042269461,26.8956697075087,NA,43.4804042269461,2.68956697075087
"8","Bartsia trichophylla",0.23501,0.202179503131351,248.996904761905,23.501,20.2179503131351,24.8996904761905
"9","Belonanthus hispidus",0.167301666666667,0.197338600611975,141.050251900097,16.7301666666667,19.7338600611975,14.1050251900097
"10","Bidens triplinervia",1.4875,0.388333333333333,84.59,148.75,38.8333333333333,8.459
"11","Blechnum auratum",52.8592,0.278447364498711,58.5086552934823,5285.92,27.8447364498711,5.85086552934823
"12","Bromus lanatus",5.56448939393939,0.378908496804266,84.2631679827461,556.448939393939,37.8908496804266,8.42631679827461
"13","Calamagrostis cf. amoena",2.41592148148148,0.500212759427043,37.5702909176921,241.592148148148,50.0212759427043,3.75702909176921
"14","Calamagrostis cf. amonea",1.04299130434783,0.496622475077753,59.5994745778129,104.299130434783,49.6622475077753,5.95994745778129
"15","Calamagrostis rigida",1.15066666666667,0.507752994585597,76.5001479638067,115.066666666667,50.7752994585597,7.65001479638067
"16","Calamagrostis sp3",1.22533333333333,0.525510204081633,18.7551020408163,122.533333333333,52.5510204081633,1.87551020408163
"17","Calamagrostis tarmensis",1.94297586805556,0.499173682231339,45.9852115760527,194.297586805556,49.9173682231339,4.59852115760527
"18","Carex boliviensis",1.71833333333333,0.364832376235885,144.398288394952,171.833333333333,36.4832376235885,14.4398288394952
"19","Carex bonplandii",1.82668888888889,0.383637451165935,148.129755318467,182.668888888889,38.3637451165935,14.8129755318467
"20","Carex pichinchensis",7.99526158008658,0.424318584556771,80.3858060828391,799.526158008658,42.4318584556771,8.03858060828391
"21","Carex pygmaea",1.47228323979592,0.496501904401064,126.907081654183,147.228323979592,49.6501904401064,12.6907081654183
"22","Carex sp7",0.247785,0.497493886237227,64.7149810532737,24.7785,49.7493886237227,6.47149810532737
"23","Cerastium arvense",0.47298,0.364251690338647,175.052,47.298,36.4251690338647,17.5052
"24","Chaptalia cordata",8.20119294871795,0.178235285824255,74.9175699706182,820.119294871795,17.8235285824255,7.49175699706182
"25","Chusquea intipaqariy",7.50873333333333,0.549264154923369,65.9791460581882,750.873333333333,54.9264154923369,6.59791460581882
"26","Cortaderia bifida",16.7371428571429,0.494129663637145,53.7522323552858,1673.71428571429,49.4129663637145,5.37522323552858
"27","Cortaderia hapalotricha",7.65581398809524,0.513508478548987,49.4995840772451,765.581398809524,51.3508478548987,4.94995840772451
"28","Cyrtochilum aureum",31.2470666666667,0.131551532559159,143.890827353551,3124.70666666667,13.1551532559159,14.3890827353551
"29","Diplostephium cf. haenkei",5.70486111111111,0.499917200071551,66.3571851376408,570.486111111111,49.9917200071551,6.63571851376408
"30","Elaphoglossum amphioxys",29.6441428571429,0.2378797377902,55.6890729020341,2964.41428571429,23.78797377902,5.56890729020341
"31","Elaphoglossum huacsaro",8.3071625,0.350917859420206,43.796066691353,830.71625,35.0917859420206,4.3796066691353
"32","Eriocaulon microcephalum",0.137710256410256,0.190839694656489,214.828,13.7710256410256,19.0839694656489,21.4828
"33","Eriosorus cheilanthoides",10.0894981481481,0.257028225941025,53.9094418806286,1008.94981481481,25.7028225941025,5.39094418806286
"34","Euphorbia huanchahana",0.524985851648352,0.319500058536305,182.152855815514,52.4985851648352,31.9500058536305,18.2152855815514
"35","Festuca cf. andina",0.73175,0.394465634872405,85.5013918502725,73.175,39.4465634872405,8.55013918502724
"36","Festuca dolichophylla",6.21018964076859,0.433392126595009,45.4057900705046,621.018964076859,43.3392126595009,4.54057900705046
"37","Festuca sp4",1.66833333333333,0.448635714107078,40.4992683255293,166.833333333333,44.8635714107078,4.04992683255293
"38","Galium corymbosum",0.0350073102896129,0.443097643097643,180.76371998372,3.50073102896129,44.3097643097643,18.076371998372
"39","Gamochaeta coarctata",0.968938666666667,0.307771763103119,214.027453792562,96.8938666666667,30.7771763103119,21.4027453792562
"40","Gaultheria glomerata",4.0999958490566,0.457218300730586,57.2803169684861,409.99958490566,45.7218300730586,5.72803169684861
"41","Gaultheria vaccinioides",0.483980888888889,0.35941039372706,66.098099340953,48.3980888888889,35.941039372706,6.6098099340953
"42","Gentiana sedifolia",0.079302251008896,0.508352677917895,111.205313408813,7.9302251008896,50.8352677917895,11.1205313408813
"43","Gentianella ernestii",0.673627222222222,0.299514257855905,88.5167245474187,67.3627222222222,29.9514257855905,8.85167245474187
"44","Geranium sessiliflorum",2.17626358974359,0.300089639762485,107.798189946931,217.626358974359,30.0089639762485,10.7798189946931
"45","Halenia umbellata",1.79708888888889,0.240342052035662,112.845999512992,179.708888888889,24.0342052035662,11.2845999512992
"46","Hieracium cf. mandonii",6.2020825,0.162879333282444,137.148652476543,620.20825,16.2879333282444,13.7148652476543
"47","Hypericum andinum",0.0395301338706437,0.59647081313748,84.8860584415584,3.95301338706437,59.647081313748,8.48860584415584
"48","Hypochaeris taraxacoides",1.81627458333333,0.177150321742889,157.848047089311,181.627458333333,17.7150321742889,15.7848047089311
"49","Jamesonia blepharum",4.96373333333333,0.384331106385088,48.2156172209005,496.373333333333,38.4331106385088,4.82156172209005
"50","Lachemilla cf. vulcanica",0.487858205128205,0.497951703849314,116.708842669684,48.7858205128205,49.7951703849314,11.6708842669684
"51","Lachemilla jamesonii",1.11501977777778,0.477362691505146,95.9429343381965,111.501977777778,47.7362691505146,9.59429343381965
"52","Lachemilla orbiculata",2.8381212962963,0.310580401836669,74.9672123654655,283.81212962963,31.0580401836669,7.49672123654655
"53","Laestadia muscicola",NA,NA,NA,NA,NA,NA
"54","Luzula racemosa",2.57362938095238,0.395947450366907,103.779270313042,257.362938095238,39.5947450366907,10.3779270313042
"55","Lycopodium clavatum",NA,0.437386587776672,54.3700953608849,NA,43.7386587776672,5.43700953608849
"56","Lysipomia glandulifera",0.0532189592132505,0.346936545917258,216.183174603175,5.32189592132505,34.6936545917258,21.6183174603175
"57","Lysipomia laciniata",2.33394444444444,0.137075781365271,36.5110775941625,233.394444444444,13.7075781365271,3.65110775941625
"58","Lysipomia sp",5.531,0.114649681528662,35.2292993630573,553.1,11.4649681528662,3.52292993630573
"59","Melpomene moniliformis",6.69033571428571,0.39601717476804,23.4424492006578,669.033571428571,39.601717476804,2.34424492006578
"60","Miconia rotundifolia",2.52164102564103,0.250442522235784,65.9260893387322,252.164102564103,25.0442522235784,6.59260893387322
"61","Muehlenbeckia volcanica",0.518320571428571,0.20538835594734,115.141473992674,51.8320571428571,20.538835594734,11.5141473992674
"62","Nertera granadensis",0.104139060755041,0.198732115524972,325.043972832723,10.4139060755041,19.8732115524972,32.5043972832723
"63","Niphogeton dissecta",1.55978333333333,0.264260054287416,95.8722121040519,155.978333333333,26.4260054287416,9.58722121040519
"64","Orchidaceae sp",30.586625,0.134647077945919,24.2852893467678,3058.6625,13.4647077945919,2.42852893467678
"65","Oreithales integrifolia",4.28293571428571,0.211328176088178,39.716481226889,428.293571428571,21.1328176088178,3.9716481226889
"66","Oreobolus goeppingeri",0.0742276255707763,0.366719619205202,130.961196581197,7.42276255707763,36.6719619205202,13.0961196581197
"67","Oreomyrrhis andicola",3.66287857142857,0.308745712805228,93.6064554972755,366.287857142857,30.8745712805228,9.36064554972755
"68","Oritrophium hieracioides",4.98871842105263,0.226539625783055,78.9791294827746,498.871842105263,22.6539625783055,7.89791294827746
"69","Oxalis oreocharis",0.506,0.161730205278592,115.500577873426,50.6,16.1730205278592,11.5500577873426
"70","Paspalum bonplandianum",4.07388,0.280739831914018,220.956875216248,407.388,28.0739831914018,22.0956875216248
"71","Perezia pungens",8.37018636363636,0.241246520358288,93.9394551743488,837.018636363636,24.1246520358288,9.39394551743488
"72","Pernettya prostrata",0.499758577441077,0.410831153186288,57.2580782886558,49.9758577441077,41.0831153186288,5.72580782886557
"73","Poa sp2",0.381558333333333,0.676948051948052,113.404444444444,38.1558333333333,67.6948051948052,11.3404444444444
"74","Poa spicigera",0.348732380952381,0.539149739149739,117.420025086407,34.8732380952381,53.9149739149739,11.7420025086407
