ID,Day,Site,Genus,Species,Project,Experiment,Plot_ID,Individual_nr,Leaf_nr,Plant_Height_cm,Plant_Length_cm,Bulk_nr_leaves,Length_cm,Wet_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Remark,LeafArea_cm2.x,LeafArea_cm2.y
ADY1845,12,ACJ,Halenia,umbellata,T,C,1,1,1,6.5,10.5,NA,NA,0.068,0.332,0.336,0.512,NA,3.907,3.907
ADZ3452,12,ACJ,Lachemilla,orbiculata,T,C,5,1,3,7,NA,NA,NA,0.155,0.285,0.29,0.278,NA,2.074,2.074
AEO9502,12,ACJ,Lachemilla,orbiculata,T,C,5,2,1,9,NA,NA,NA,0.217,0.35,0.28,0.287,NA,5.404,5.404
AAE4190,12,ACJ,Lachemilla,orbiculata,T,C,5,1,1,7,NA,NA,NA,0.123,0.299,0.273,0.266,NA,3.3899999999999997,3.3899999999999997
AEP3671,12,ACJ,Lachemilla,orbiculata,T,C,5,2,3,9,NA,NA,NA,0.137,0.305,0.341,0.246,NA,3.5490000000000004,3.5490000000000004
AUZ0851,12,ACJ,Lachemilla,orbiculata,T,C,5,1,4,7,NA,NA,NA,0.145,0.257,0.309,0.31,NA,4.0969999999999995,4.0969999999999995
AEC5667,12,ACJ,Halenia,umbellata,T,C,2,1,3,22.5,NA,NA,NA,0.033,0.237,0.25,0.292,NA,1.252,1.252
AVU1713,12,ACJ,Lachemilla,orbiculata,T,C,2,2,1,9,NA,NA,NA,0.098,0.251,0.242,0.253,NA,2.1999999999999997,2.1999999999999997
ATO7404,12,ACJ,Halenia,umbellata,T,C,4,2,4,9.5,NA,NA,NA,0.076,0.267,0.26,NA,NA,2.502,2.502
AUF2369,12,ACJ,Halenia,umbellata,T,C,4,2,1,9.5,NA,NA,NA,0.085,0.291,0.278,NA,NA,2.962,2.962
ATK1879,12,ACJ,Halenia,umbellata,T,C,4,2,3,9.5,NA,NA,NA,0.072,0.262,0.256,NA,NA,2.385,2.385
ADJ9799,12,ACJ,Lachemilla,orbiculata,T,C,2,1,5,6.5,NA,NA,NA,0.11,0.281,0.26,NA,NA,2.521,2.521
AES2395,12,ACJ,Lachemilla,orbiculata,T,C,5,3,3,4,NA,NA,NA,0.051,0.249,0.25,NA,NA,1.59,1.59
AVV3560,12,ACJ,Lachemilla,orbiculata,T,C,2,2,2,9,NA,NA,NA,0.159,0.298,0.291,NA,NA,3.4250000000000003,3.4250000000000003
ADI7562,12,ACJ,Lachemilla,orbiculata,T,C,2,1,4,6.5,NA,NA,NA,0.133,0.273,0.305,NA,NA,4.051,4.051
AEV1251,12,ACJ,Halenia,umbellata,T,C,4,3,5,18,NA,NA,NA,0.068,0.216,0.22,NA,NA,2.334,2.334
ATX9292,12,ACJ,Halenia,umbellata,T,C,1,1,2,6.5,NA,NA,NA,0.042,0.282,0.293,NA,NA,1.229,1.229
ATJ5219,12,ACJ,Halenia,umbellata,T,C,1,1,3,6.5,NA,NA,NA,0.047,0.249,0.247,NA,NA,1.311,1.311
AAH3401,12,ACJ,Halenia,umbellata,T,C,1,1,4,6.5,NA,NA,NA,0.029,0.22,0.23,NA,NA,1.219,1.219
ATS6341,12,ACJ,Halenia,umbellata,T,C,4,3,1,18,NA,NA,NA,0.068,0.21,0.208,NA,NA,2.475,2.475
AVA2500,12,ACJ,Lachemilla,orbiculata,T,C,5,1,5,7,NA,NA,NA,0.132,0.368,0.326,NA,NA,3.733,3.733
ABG6775,12,ACJ,Halenia,umbellata,T,C,3,3,2,9.6,NA,NA,NA,0.032,0.193,0.211,0.225,NA,1.167,1.167
ACE7565,12,ACJ,Halenia,umbellata,T,C,3,3,1,9.6,NA,NA,NA,0.052,0.253,0.268,NA,NA,1.592,1.592
ADP7756,12,ACJ,Halenia,umbellata,T,C,1,2,1,10.8,NA,NA,NA,0.088,0.232,0.264,0.262,NA,2.716,2.716
ABK6774,12,ACJ,Halenia,umbellata,T,C,1,2,4,10.8,NA,NA,NA,0.075,0.267,0.267,NA,NA,2.461,2.461
AVM7408,12,ACJ,Halenia,umbellata,T,C,5,1,1,7.3,NA,NA,NA,0.062,0.205,0.224,0.242,NA,2.212,2.212
AVO3151,12,ACJ,Halenia,umbellata,T,C,5,1,3,7.3,NA,NA,NA,0.061,0.222,0.237,0.242,NA,2.24,2.24
ABI2402,12,ACJ,Halenia,umbellata,T,C,3,3,5,9.6,NA,NA,NA,0.034,0.202,0.212,0.221,NA,0.978,0.978
AIG2220,12,ACJ,Eriosorus,cheilanthoides,T,C,5,2,NA,36.7,NA,NA,NA,0.72,0.369,0.407,0.271,NA,14.787,14.787
AIF7328,12,ACJ,Eriosorus,cheilanthoides,T,C,5,1,NA,35.3,NA,NA,NA,0.814,0.356,0.297,0.308,NA,19.624,19.624
BIU3645,12,ACJ,Gaultheria,glomerata,T,C,4,3,5,10,NA,NA,NA,0.067,0.633,0.564,0.47,NA,1.37,1.37
BIA2849,12,ACJ,Gaultheria,glomerata,T,C,4,3,1,10,NA,NA,NA,0.172,0.545,0.557,0.603,NA,3.975,3.975
BIQ0144,12,ACJ,Gaultheria,glomerata,T,C,3,1,2,19.4,NA,NA,NA,0.221,0.569,0.583,0.558,NA,5.24,5.24
BIV5629,12,ACJ,Gaultheria,glomerata,T,C,3,1,1,19.4,NA,NA,NA,0.245,0.676,0.747,0.645,NA,5.101,5.101
AIH7326,12,ACJ,Eriosorus,cheilanthoides,T,C,5,3,NA,42,NA,NA,NA,1.001,0.631,0.523,0.337,NA,14.359,14.359
BHW0704,12,ACJ,Gaultheria,glomerata,T,C,3,2,2,4.6,NA,NA,NA,0.149,0.559,0.54,0.56,NA,3.869,3.869
AXA3752,12,ACJ,Pernettya,prostrata,T,C,4,2,NA,37,NA,5,NA,0.072,0.561,0.477,0.522,NA,1.958,1.958
BXN4458,12,QUE,Carex,pichinchensis,T,BB,2,4,NA,10.9,NA,NA,NA,0.13,0.236,0.23,0.195,NA,6.157,6.157
BXB4580,12,QUE,Carex,pichinchensis,T,BB,2,1,NA,10.2,NA,NA,NA,0.116,0.254,0.214,0.239,NA,6.095,6.095
AXS7546,12,QUE,Vaccinium,floribundum,T,BB,2,4,NA,1.8,NA,5,NA,0.042,0.431,0.475,0.417,NA,1.279,1.279
BXJ8297,12,QUE,Carex,pichinchensis,T,BB,2,3,NA,9.5,NA,NA,NA,0.134,0.254,0.233,0.236,NA,5.976,5.976
