ID,Day,Site,Genus,Species,Project,Experiment,Plot_ID,Individual_nr,Leaf_nr,Plant_Height_cm,Plant_Length_cm,Bulk_nr_leaves,Length_cm,Wet_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Remark,LeafArea_cm2,nLeafScan
ADY1845,12,ACJ,Halenia,umbellata,T,C,1,1,1,6.5,NA,2,NA,68,332,336,512,NA,3.907,2
ADZ3452,12,ACJ,Lachemilla,orbiculata,T,C,5,1,3,7,NA,1,NA,155,285,0.29,278,NA,2.074,1
AEO9502,12,ACJ,Lachemilla,orbiculata,T,C,5,2,1,9,NA,6,NA,217,0.35,0.28,287,NA,5.404,6
AAE4190,12,ACJ,Lachemilla,orbiculata,T,C,5,1,1,7,NA,2,NA,123,299,273,266,NA,33.899.999.999.999.900,2
AEP3671,12,ACJ,Lachemilla,orbiculata,T,C,5,2,3,9,NA,2,NA,137,305,341,246,NA,35.490.000.000.000.000,2
AUZ0851,12,ACJ,Lachemilla,orbiculata,T,C,5,1,4,7,NA,3,NA,145,257,309,0.31,NA,40.969.999.999.999.900,3
AEC5667,12,ACJ,Halenia,umbellata,T,C,2,1,3,22.5,NA,1,NA,33,237,0.25,292,NA,1.252,1
AVU1713,12,ACJ,Lachemilla,orbiculata,T,C,2,2,1,9,NA,3,NA,98,251,242,253,NA,21.999.999.999.999.900,3
ATO7404,12,ACJ,Halenia,umbellata,T,C,4,2,4,9.5,NA,2,NA,76,267,0.26,NA,NA,2.502,2
AUF2369,12,ACJ,Halenia,umbellata,T,C,4,2,1,9.5,NA,1,NA,85,291,278,NA,NA,2.962,1
ATK1879,12,ACJ,Halenia,umbellata,T,C,4,2,3,9.5,NA,1,NA,72,262,256,NA,NA,2.385,1
ADJ9799,12,ACJ,Lachemilla,orbiculata,T,C,2,1,5,6.5,NA,2,NA,0.11,281,0.26,NA,NA,2.521,2
AES2395,12,ACJ,Lachemilla,orbiculata,T,C,5,3,3,4,NA,1,NA,51,249,0.25,NA,NA,1.59,1
AVV3560,12,ACJ,Lachemilla,orbiculata,T,C,2,2,2,9,NA,7,NA,159,298,291,NA,NA,34.250.000.000.000.000,7
ADI7562,12,ACJ,Lachemilla,orbiculata,T,C,2,1,4,6.5,NA,2,NA,133,273,305,NA,NA,4.051,2
AEV1251,12,ACJ,Halenia,umbellata,T,C,4,3,5,18,NA,1,NA,68,216,0.22,NA,NA,2.334,1
ATX9292,12,ACJ,Halenia,umbellata,T,C,1,1,2,6.5,NA,1,NA,42,282,293,NA,NA,1.229,1
ATJ5219,12,ACJ,Halenia,umbellata,T,C,1,1,3,6.5,NA,1,NA,47,249,247,NA,NA,1.311,1
AAH3401,12,ACJ,Halenia,umbellata,T,C,1,1,4,6.5,NA,1,NA,29,0.22,0.23,NA,NA,1.219,1
ATS6341,12,ACJ,Halenia,umbellata,T,C,4,3,1,18,NA,1,NA,68,0.21,208,NA,NA,2.475,1
AVA2500,12,ACJ,Lachemilla,orbiculata,T,C,5,1,5,7,NA,2,NA,132,368,326,NA,NA,3.733,2
ABG6775,12,ACJ,Halenia,umbellata,T,C,3,3,2,9.6,NA,1,NA,32,193,211,225,NA,1.167,1
ACE7565,12,ACJ,Halenia,umbellata,T,C,3,3,1,9.6,NA,1,NA,52,253,268,NA,NA,1.592,1
ADP7756,12,ACJ,Halenia,umbellata,T,C,1,2,1,10.8,NA,1,NA,88,232,264,262,NA,2.716,1
ABK6774,12,ACJ,Halenia,umbellata,T,C,1,2,4,10.8,NA,1,NA,75,267,267,NA,NA,2.461,1
AVM7408,12,ACJ,Halenia,umbellata,T,C,5,1,1,7.3,NA,1,NA,62,205,224,242,NA,2.212,1
AVO3151,12,ACJ,Halenia,umbellata,T,C,5,1,3,7.3,NA,2,NA,61,222,237,242,NA,2.24,2
ABI2402,12,ACJ,Halenia,umbellata,T,C,3,3,5,9.6,NA,1,NA,34,202,212,221,NA,978,1
AIG2220,12,ACJ,Eriosorus,cheilanthoides,T,C,5,2,NA,36.7,NA,1,NA,0.72,369,407,271,NA,14.787,1
AIF7328,12,ACJ,Eriosorus,cheilanthoides,T,C,5,1,NA,35.3,NA,4,NA,814,356,297,308,NA,19.624,4
BIU3645,12,ACJ,Gaultheria,glomerata,T,C,4,3,5,10,NA,1,NA,67,633,564,0.47,NA,1.37,1
BIA2849,12,ACJ,Gaultheria,glomerata,T,C,4,3,1,10,NA,1,NA,172,545,557,603,NA,3.975,1
BIQ0144,12,ACJ,Gaultheria,glomerata,T,C,3,1,2,19.4,NA,1,NA,221,569,583,558,NA,5.24,1
BIV5629,12,ACJ,Gaultheria,glomerata,T,C,3,1,1,19.4,NA,1,NA,245,676,747,645,NA,5.101,1
AIH7326,12,ACJ,Eriosorus,cheilanthoides,T,C,5,3,NA,42,NA,4,NA,1.001,631,523,337,NA,14.359,4
BHW0704,12,ACJ,Gaultheria,glomerata,T,C,3,2,2,4.6,NA,1,NA,149,559,0.54,0.56,NA,3.869,1
AXA3752,12,ACJ,Pernettya,prostrata,T,C,4,2,NA,37,NA,5,NA,72,561,477,522,NA,1.958,7
BXN4458,12,QUE,Carex,pichinchensis,T,BB,2,4,NA,10.9,NA,1,NA,0.13,236,0.23,195,NA,6.157,1
BXB4580,12,QUE,Carex,pichinchensis,T,BB,2,1,NA,10.2,NA,1,NA,116,254,214,239,NA,6.095,1
AXS7546,12,QUE,Vaccinium,floribundum,T,BB,2,4,NA,1.8,NA,5,NA,42,431,475,417,NA,1.279,8
BXJ8297,12,QUE,Carex,pichinchensis,T,BB,2,3,NA,9.5,NA,5,NA,134,254,233,236,NA,5.976,5
AHF0820,12,QUE,Poa,spicigera,T,BB,1,5,NA,5.4,NA,3,NA,22,268,294,256,double leaf area,11.360.000.000.000.000,3
AIK3112,12,QUE,Rhynchospora,macrochaeta,T,BB,4,1,NA,13.2,16.9,1,NA,141,253,235,196,NA,4.43,1
AZC5871,12,QUE,Poa,spicigera,T,BB,1,3,NA,6.6,NA,3,NA,13,195,205,189,NA,866,3
