site,year,month,day,plot,name,real_species_name,Cover,fertile,seedling,observer,comment,habit,sampled,,, 
QUE,2020,3,12,BB1,Agrostis_mertensii,,+,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Antennaria_linearifolia,,3,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Aphanactis_villosa,,1,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Baccharis_caespitosa,,4,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Gamochaeta_coarctata,,1,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Calamagrostis_sp8,,25,1,,"LVB, VV",Calamagrostis beauty,,1,,,
QUE,2020,3,12,BB1,Carex_pichinchensis,,8,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Cerastium_arvense,,+,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Chaptalia_cordata,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Gentiana_sedifolia,,+,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Geranium_filipes,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Hypericum_andinum,,2,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Hypochaeris_taraxacoides,,1,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Luzula_racemosa,,2,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Calamagrostis_tarmensis,,,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Oreomyrrhis_andicola,,4,1,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Oxalis_oreocharis,,1,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Paspalum_bonplandianum,,20,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Perezia_pungens,,+,1,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Pernettya_prostrata,,,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Agrostis_foliata,,4,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Viola_pymaea,,1,0,,"LVB, VV",,,1,,,
QUE,2020,3,12,BB1,Werneria_nubigena,,+,0,,"LVB, VV",,,0,,,
QUE,2020,3,12,BB1,Werneria_villosa,,2,1,,"LVB, VV",,,1,,,
