site,year,month,day,plot,name,real_species_name,Cover,fertile,seedling,observer,comment,habit,sampled
TRE,2019,3,15,C1,Agrostis sp1,,0,0,0,"LVB,KOZ",dead,,0
TRE,2019,3,15,C1,Agrostis mertensii,,1,1,0,"LVB,KOZ",,,0
TRE,2019,3,15,C1,Calamagrostis cf. macrophylla,,15,0,0,"LVB,KOZ",,,1
TRE,2019,3,15,C1,Lachemilla orbiculata,,0,0,0,"LVB,KOZ",2 samples + 1,,1
TRE,2019,3,15,C1,Bromus lanatus,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C1,Carex pichinchensis,,35,1,0,"LVB,KOZ",,,1
TRE,2019,3,15,C1,Euphorbia huanchahana,,0,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C1,Gaultheria glomerata,,+,0,0,"LVB,KOZ",2 samples + 1,,1
TRE,2019,3,15,C1,Gentiana sedifolia,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C1,Halenia umbellata,,+,1,0,"LVB,KOZ",2 samples + 1,,1
TRE,2019,3,15,C1,Hypericum andinum,,25,1,0,"LVB,KOZ",,,1
TRE,2019,3,15,C1,Hypochaeris taraxacoides,,1,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C1,Lycopodium clavatum,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C1,Calamagrostis tarmensis,,4,0,0,"LVB,KOZ",,,1
TRE,2019,3,15,C1,Paspalum bonplandianum,,4,0,0,"LVB,KOZ",2 samples + 1,,1
TRE,2019,3,15,C1,Perezia pungens,,1,1,0,"LVB,KOZ",,,0
TRE,2019,3,15,C1,Pernettya prostrata,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C1,Pterichis sp1,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C1,Vaccinium floribundum,,+,0,0,"LVB,KOZ",2 samples + 1,,1
TRE,2019,3,15,C1,Viola pygmaea,,1,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C1,Baccharis caespitosa,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C1,Carex pygmaea,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C1,Festuca dolichophylla,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C1,Rhynchospora macrochaeta,,1,0,0,"LVB,KOZ",2 samples + 1,,1
TRE,2019,3,15,C2,Agrostis mertensii,,+,0,0,"PSA,AP",,,0
TRE,2019,3,15,C2,Lachemilla orbiculata,,1,0,0,"PSA,AP",2 samples + 1,,1
TRE,2019,3,15,C2,Baccharis genistelloides,,+,0,0,"PSA,AP",,,0
TRE,2019,3,15,C2,Calamagrostis cf. macrophylla,,1,0,0,"PSA,AP",,,0
TRE,2019,3,15,C2,Carex bonplandii,,2,0,0,"PSA,AP",,,1
TRE,2019,3,15,C2,Carex pichinchensis,,2,1,0,"PSA,AP",,,1
TRE,2019,3,15,C2,Festuca dolichophylla,,2,0,0,"PSA,AP",,,1
TRE,2019,3,15,C2,Halenia umbellata,,+,0,0,"PSA,AP",2 samples + 1,,1
TRE,2019,3,15,C2,Hypericum andinum,,+,0,0,"PSA,AP",,,0
TRE,2019,3,15,C2,Trichophorum rigidum,,4,0,0,"PSA,AP",,,1
TRE,2019,3,15,C2,Luzula racemosa,,+,0,0,"PSA,AP",,,0
TRE,2019,3,15,C2,Calamagrostis tarmensis,,50,0,0,"PSA,AP",,,1
TRE,2019,3,15,C2,Oreithales integrifolia,,+,0,0,"PSA,AP",,,0
TRE,2019,3,15,C2,Oritrophium hieracioides,,+,0,0,"PSA,AP",,,0
TRE,2019,3,15,C2,Paspalum bonplandianum,,+,0,0,"PSA,AP",2 samples + 1,,1
TRE,2019,3,15,C2,Pernettya prostrata,,0,0,0,"PSA,AP",,,0
TRE,2019,3,15,C2,Rhynchospora macrochaeta,,1,0,0,"PSA,AP",2 samples + 1,,1
TRE,2019,3,15,C2,Vaccinium floribundum,,2,0,0,"PSA,AP",2 samples + 1,,1
TRE,2019,3,15,C2,Carex sp7,,0,0,0,"PSA,AP",,,0
TRE,2019,3,15,C2,Gentiana sedifolia,,0,0,0,"PSA,AP",,,0
TRE,2019,3,15,C2,Hypochaeris taraxacoides,,+,0,0,"PSA,AP",,,0
TRE,2019,3,15,C2,Viola pygmaea,,0,0,0,"PSA,AP",,,0
TRE,2019,3,15,C3,Lachemilla jamesonii,,2,0,0,"LVB,KOZ",,,1
TRE,2019,3,15,C3,Baccharis caespitosa,,+,0,1,"LVB,KOZ",,,0
TRE,2019,3,15,C3,Bidens triplinervia,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C3,Calamagrostis cf. macrophylla,,30,0,0,"LVB,KOZ",,,1
TRE,2019,3,15,C3,Carex bonplandii,,1,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C3,Carex pichinchensis,,25,1,0,"LVB,KOZ",,,1
TRE,2019,3,15,C3,Chusquea intipacarina,,10,0,0,"LVB,KOZ",,,1
TRE,2019,3,15,C3,Euphorbia huanchahana,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C3,Gentiana sedifolia,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C3,Halenia umbellata,,3,0,0,"LVB,KOZ",2 samples + 1,,1
TRE,2019,3,15,C3,Hypericum andinum,,10,0,1,"LVB,KOZ",,,1
TRE,2019,3,15,C3,Hypochaeris taraxacoides,,4,0,0,"LVB,KOZ",,,1
TRE,2019,3,15,C3,Trichophorum rigidum,,4,1,0,"LVB,KOZ",,,1
TRE,2019,3,15,C3,Oritrophium hieracioides,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C3,Paspalum bonplandianum,,1,0,0,"LVB,KOZ",2 samples + 1,,1
TRE,2019,3,15,C3,Pernettya prostrata,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C3,Vaccinium floribundum,,3,1,0,"LVB,KOZ",2 samples + 1,,1
TRE,2019,3,15,C3,Viola pygmaea,,1,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C3,Acaena cylindristachya,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C3,Lachemilla orbiculata,,1,0,0,"LVB,KOZ",2 samples + 1,,1
TRE,2019,3,15,C3,Carex pygmaea,,3,0,0,"LVB,KOZ",,,1
TRE,2019,3,15,C3,Calamagrostis tarmensis,,20,0,0,"LVB,KOZ",,,1
TRE,2019,3,15,C3,Oreithales integrifolia,,1,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C3,Rhynchospora macrochaeta,,2,1,0,"LVB,KOZ",2 samples + 1,,1
TRE,2019,3,15,C3,Festuca dolichophylla,,1,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C3,Pterichis sp1,,+,0,0,"LVB,KOZ",,,0
TRE,2019,3,15,C4,Lachemilla cf vulcanica,,+,0,0,"PSA,AP",,,0
TRE,2019,3,15,C4,Baccharis genistelloides,,+,0,0,"PSA,AP",,,0
TRE,2019,3,15,C4,Carex pichinchensis,,12,0,0,"PSA,AP",,,1
TRE,2019,3,15,C4,Carex pygmaea,,10,0,0,"PSA,AP",,,1
TRE,2019,3,15,C4,Festuca dolichophylla,,+,0,0,"PSA,AP",,,0
TRE,2019,3,15,C4,Gaultheria glomerata,,4,0,0,"PSA,AP",2 samples + 1,,1
TRE,2019,3,15,C4,Halenia umbellata,,+,0,0,"PSA,AP",2 samples + 1,,1
TRE,2019,3,15,C4,Hypochaeris taraxacoides,,1,0,0,"PSA,AP",,,0
TRE,2019,3,15,C4,Lycopodium clavatum,,0,0,0,"PSA,AP",,,0
TRE,2019,3,15,C4,Calamagrostis tarmensis,,35,0,0,"PSA,AP",,,1
TRE,2019,3,15,C4,Perezia pungens,,2,0,0,"PSA,AP",was difficult to find,,0
TRE,2019,3,15,C4,Pernettya prostrata,,1,0,0,"PSA,AP",,,0
TRE,2019,3,15,C4,Rhynchospora macrochaeta,,10,1,0,"PSA,AP",2 samples + 1,,1
TRE,2019,3,15,C4,Vaccinium floribundum,,16,0,0,"PSA,AP",2 samples + 1,,1
TRE,2019,3,15,C4,Viola pygmaea,,+,0,0,"PSA,AP",,,0
TRE,2019,3,15,C4,Pterichis sp1,,+,0,0,"PSA,AP",,,0
