"","family","taxon","genus","trait"
"1","Poaceae","Calamagrostis cf. amoena","Calamagrostis","leaf carbon content per leaf dry mass"
"2","Poaceae","Calamagrostis tarmensis","Calamagrostis","leaf carbon content per leaf dry mass"
"3","Ericaceae","Gaultheria glomerata","Gaultheria","leaf carbon content per leaf nitrogen content"
"4","Ericaceae","Gaultheria glomerata","Gaultheria","leaf carbon content per leaf dry mass"
"5","Ericaceae","Gaultheria vaccinioides","Gaultheria","leaf carbon content per leaf nitrogen content"
"6","Ericaceae","Gaultheria vaccinioides","Gaultheria","leaf carbon content per leaf dry mass"
"7","Gentianaceae","Halenia umbellata","Halenia","leaf carbon content per leaf nitrogen content"
"8","Asteraceae","Hieracium cf. mandonii","Hieracium","leaf nitrogen content per leaf dry mass"
"9","Asteraceae","Hieracium cf. mandonii","Hieracium","leaf phosphorus content per leaf dry mass"
"10","Asteraceae","Hieracium cf. mandonii","Hieracium","leaf carbon content per leaf dry mass"
"11","Hypericaceae","Hypericum andinum","Hypericum","leaf phosphorus content per leaf dry mass"
"12","Hypericaceae","Hypericum andinum","Hypericum","leaf carbon content per leaf dry mass"
"13","Juncaceae","Luzula racemosa","Luzula","leaf phosphorus content per leaf dry mass"
"14","Juncaceae","Luzula racemosa","Luzula","leaf carbon content per leaf dry mass"
"15","Poaceae","Paspalum bonplandianum","Paspalum","leaf carbon content per leaf dry mass"
"16","Blechnaceae","Blechnum auratum","Blechnum","leaf carbon content per leaf nitrogen content"
"17","Blechnaceae","Blechnum auratum","Blechnum","leaf carbon content per leaf dry mass"
"18","Asteraceae","Diplostephium cf. haenkei","Diplostephium","leaf carbon content per leaf nitrogen content"
"19","Asteraceae","Diplostephium cf. haenkei","Diplostephium","leaf phosphorus content per leaf dry mass"
"20","Asteraceae","Diplostephium cf. haenkei","Diplostephium","leaf carbon content per leaf dry mass"
"21","Geraniaceae","Geranium sessiliflorum","Geranium","leaf carbon content per leaf nitrogen content"
"22","Apiaceae","Azorella biloba","Azorella","leaf carbon content per leaf nitrogen content"
"23","Asteraceae","Hypochaeris taraxacoides","Hypochaeris","leaf nitrogen content per leaf dry mass"
"24","Asteraceae","Hypochaeris taraxacoides","Hypochaeris","leaf phosphorus content per leaf dry mass"
"25","Asteraceae","Hypochaeris taraxacoides","Hypochaeris","leaf carbon content per leaf dry mass"
"26","Poaceae","Calamagrostis cf. amonea","Calamagrostis","leaf carbon content per leaf dry mass"
"27","Poaceae","Calamagrostis rigida","Calamagrostis","leaf carbon content per leaf dry mass"
"28","Oxalidaceae","Oxalis oreocharis","Oxalis","leaf phosphorus content per leaf dry mass"
"29","Oxalidaceae","Oxalis oreocharis","Oxalis","leaf carbon content per leaf dry mass"
"30","Cyperaceae","Trichophorum rigidum","Trichophorum","leaf carbon content per leaf nitrogen content"
"31","Cyperaceae","Trichophorum rigidum","Trichophorum","leaf phosphorus content per leaf dry mass"
"32","Cyperaceae","Trichophorum rigidum","Trichophorum","leaf carbon content per leaf dry mass"
"33","Poaceae","Chusquea intipaqariy","Chusquea","leaf carbon content per leaf nitrogen content"
"34","Poaceae","Calamagrostis sp3","Calamagrostis","leaf carbon content per leaf dry mass"
"35","Orchidaceae","Cyrtochilum mystacinum","Cyrtochilum","leaf phosphorus content per leaf dry mass"
"36","Orchidaceae","Cyrtochilum mystacinum","Cyrtochilum","leaf carbon content per leaf dry mass"
"37","Dryopteridaceae","Elaphoglossum amphioxys","Elaphoglossum","leaf carbon content per leaf dry mass"
"38","Hypericaceae","Hypericum andinum","Hypericum","leaf carbon content per leaf nitrogen content"
"39","Hypericaceae","Hypericum andinum","Hypericum","leaf nitrogen content per leaf dry mass"
"40","Juncaceae","Luzula racemosa","Luzula","leaf carbon content per leaf nitrogen content"
"41","Juncaceae","Luzula racemosa","Luzula","leaf nitrogen content per leaf dry mass"
"42","Lycopodiaceae","Lycopodium clavatum","Lycopodium","leaf carbon content per leaf nitrogen content"
"43","Lycopodiaceae","Lycopodium clavatum","Lycopodium","leaf carbon content per leaf dry mass"
"44","Polypodiaceae","Melpomene moniliformis","Melpomene","leaf phosphorus content per leaf dry mass"
"45","Polypodiaceae","Melpomene moniliformis","Melpomene","leaf carbon content per leaf dry mass"
"46","Dryopteridaceae","Elaphoglossum huacsaro","Elaphoglossum","leaf carbon content per leaf dry mass"
"47","Orchidaceae","Orchidaceae sp","Orchidaceae","leaf phosphorus content per leaf dry mass"
"48","Orchidaceae","Orchidaceae sp","Orchidaceae","leaf carbon content per leaf dry mass"
"49","Campanulaceae","Lysipomia sp","Lysipomia","leaf carbon content per leaf dry mass"
"50","Orchidaceae","Pterichis sp1","Pterichis","leaf phosphorus content per leaf dry mass"
"51","Orchidaceae","Pterichis sp1","Pterichis","leaf carbon content per leaf dry mass"
"52","Apiaceae","Niphogeton dissecta","Niphogeton","leaf nitrogen content per leaf dry mass"
"53","Apiaceae","Niphogeton dissecta","Niphogeton","leaf phosphorus content per leaf dry mass"
"54","Apiaceae","Niphogeton dissecta","Niphogeton","leaf carbon content per leaf dry mass"
"55","Apiaceae","Oreomyrrhis andicola","Oreomyrrhis","leaf nitrogen content per leaf dry mass"
"56","Apiaceae","Oreomyrrhis andicola","Oreomyrrhis","leaf phosphorus content per leaf dry mass"
"57","Apiaceae","Oreomyrrhis andicola","Oreomyrrhis","leaf carbon content per leaf dry mass"
"58","Campanulaceae","Lysipomia glandulifera","Lysipomia","leaf carbon content per leaf dry mass"
"59","Apiaceae","Azorella biloba","Azorella","leaf nitrogen content per leaf dry mass"
"60","Apiaceae","Azorella biloba","Azorella","leaf phosphorus content per leaf dry mass"
"61","Apiaceae","Azorella biloba","Azorella","leaf carbon content per leaf dry mass"
"62","Campanulaceae","Lysipomia laciniata","Lysipomia","leaf carbon content per leaf dry mass"
"63","Caryophyllaceae","Cerastium arvense","Cerastium","leaf carbon content per leaf nitrogen content"
"64","Poaceae","Agrostis mertensii","Agrostis","leaf phosphorus content per leaf nitrogen content"
"65","Asteraceae","Baccharis genistelloides","Baccharis","leaf phosphorus content per leaf nitrogen content"
"66","Poaceae","Bromus lanatus","Bromus","leaf phosphorus content per leaf nitrogen content"
"67","Poaceae","Calamagrostis cf. amoena","Calamagrostis","leaf phosphorus content per leaf nitrogen content"
"68","Poaceae","Calamagrostis tarmensis","Calamagrostis","leaf phosphorus content per leaf nitrogen content"
"69","Cyperaceae","Carex pichinchensis","Carex","leaf phosphorus content per leaf nitrogen content"
"70","Poaceae","Festuca dolichophylla","Festuca","leaf phosphorus content per leaf nitrogen content"
"71","Ericaceae","Gaultheria glomerata","Gaultheria","leaf phosphorus content per leaf nitrogen content"
"72","Ericaceae","Gaultheria vaccinioides","Gaultheria","leaf phosphorus content per leaf nitrogen content"
"73","Gentianaceae","Halenia umbellata","Halenia","leaf phosphorus content per leaf nitrogen content"
"74","Asteraceae","Hieracium cf. mandonii","Hieracium","leaf phosphorus content per leaf nitrogen content"
"75","Hypericaceae","Hypericum andinum","Hypericum","leaf phosphorus content per leaf nitrogen content"
"76","Juncaceae","Luzula racemosa","Luzula","leaf phosphorus content per leaf nitrogen content"
"77","Melastomataceae","Miconia rotundifolia","Miconia","leaf phosphorus content per leaf nitrogen content"
"78","Poaceae","Paspalum bonplandianum","Paspalum","leaf phosphorus content per leaf nitrogen content"
"79","Asteraceae","Senecio burkartii","Senecio","leaf phosphorus content per leaf nitrogen content"
"80","Asteraceae","Senecio rhizomathus","Senecio","leaf phosphorus content per leaf nitrogen content"
"81","Ericaceae","Vaccinium floribundum","Vaccinium","leaf phosphorus content per leaf nitrogen content"
"82","Rubiaceae","Galium corymbosum","Galium","leaf phosphorus content per leaf nitrogen content"
"83","Blechnaceae","Blechnum auratum","Blechnum","leaf phosphorus content per leaf nitrogen content"
"84","Cyperaceae","Carex pygmaea","Carex","leaf phosphorus content per leaf nitrogen content"
"85","Asteraceae","Diplostephium cf. haenkei","Diplostephium","leaf phosphorus content per leaf nitrogen content"
"86","Asteraceae","Baccharis caespitosa","Baccharis","leaf phosphorus content per leaf nitrogen content"
