"year","project","month","site","treatment","plot_id","functional_group","family","genus","specie","taxon","cover"
2018,"PFTC3","March","QUE","C",1,"Forb","Apiaceae","Oreomyrrhis","andicola","Oreomyrrhis andicola",0.5
2018,"PFTC3","March","QUE","C",1,"Forb","Asteraceae","Antennaria","linearifolia","Antennaria linearifolia",1
2018,"PFTC3","March","QUE","C",1,"Forb","Asteraceae","Aphanactis","villosa","Aphanactis villosa",0.5
2018,"PFTC3","March","QUE","C",1,"Forb","Asteraceae","Chaptalia","cordata","Chaptalia cordata",0.5
2018,"PFTC3","March","QUE","C",1,"Forb","Asteraceae","Gamochaeta","coarctata","Gamochaeta coarctata",0.5
2018,"PFTC3","March","QUE","C",1,"Forb","Asteraceae","Hieracium","cf. mandonii","Hieracium cf. mandonii",0.5
2018,"PFTC3","March","QUE","C",1,"Forb","Asteraceae","Hypochaeris","taraxacoides","Hypochaeris taraxacoides",0.5
2018,"PFTC3","March","QUE","C",1,"Forb","Asteraceae","Perezia","pungens","Perezia pungens",0.5
2018,"PFTC3","March","QUE","C",1,"Forb","Asteraceae","Werneria","nubigena","Werneria nubigena",0.5
2018,"PFTC3","March","QUE","C",1,"Forb","Asteraceae","Werneria","villosa","Werneria villosa",0.5
2018,"PFTC3","March","QUE","C",1,"Woody","Asteraceae","Baccharis","caespitosa","Baccharis caespitosa",0.5
2018,"PFTC3","March","QUE","C",1,"Forb","Caryophyllaceae","Cerastium","arvense","Cerastium arvense",0.5
2018,"PFTC3","March","QUE","C",1,"Gramminoid","Cyperaceae","Carex","boliviensis","Carex boliviensis",0.5
2018,"PFTC3","March","QUE","C",1,"Gramminoid","Cyperaceae","Carex","pichinchensis","Carex pichinchensis",2
2018,"PFTC3","March","QUE","C",1,"Woody","Ericaceae","Pernettya","prostrata","Pernettya prostrata",3
2018,"PFTC3","March","QUE","C",1,"Forb","Geraniaceae","Geranium","sessiliflorum","Geranium sessiliflorum",0.5
2018,"PFTC3","March","QUE","C",1,"Woody","Hypericaceae","Hypericum","andinum","Hypericum andinum",10
2018,"PFTC3","March","QUE","C",1,"Gramminoid","Juncaceae","Luzula","racemosa","Luzula racemosa",0.5
2018,"PFTC3","March","QUE","C",1,"Forb","Oxalidaceae","Oxalis","oreocharis","Oxalis oreocharis",0.5
2018,"PFTC3","March","QUE","C",1,"Gramminoid","Poaceae","Agrostis","breviculmis","Agrostis breviculmis",8
2018,"PFTC3","March","QUE","C",1,"Gramminoid","Poaceae","Agrostis","foliata","Agrostis foliata",1
2018,"PFTC3","March","QUE","C",1,"Gramminoid","Poaceae","Agrostis","haenkeana","Agrostis haenkeana",1
2018,"PFTC3","March","QUE","C",1,"Gramminoid","Poaceae","Agrostis","mertensii","Agrostis mertensii",2
2018,"PFTC3","March","QUE","C",1,"Gramminoid","Poaceae","Agrostis","trichodes","Agrostis trichodes",1
2018,"PFTC3","March","QUE","C",1,"Gramminoid","Poaceae","Anatherostipa","hans-meyeri","Anatherostipa hans-meyeri",40
2018,"PFTC3","March","QUE","C",1,"Gramminoid","Poaceae","Bromus","lanatus","Bromus lanatus",0.5
2018,"PFTC3","March","QUE","C",1,"Gramminoid","Poaceae","Paspalum","bonplandianum","Paspalum bonplandianum",8
2018,"PFTC3","March","QUE","C",1,"Moss","Polytrichaceae","Polytrichum","sp1","Polytrichum sp1",0.5
2018,"PFTC3","March","QUE","C",1,"Forb","Rubiaceae","Galium","corymbosum","Galium corymbosum",0.5
2018,"PFTC3","March","QUE","C",1,"Forb","Violaceae","Viola","pygmaea","Viola pygmaea",0.5
2018,"PFTC3","March","QUE","C",2,"Forb","Asteraceae","Antennaria","linearifolia","Antennaria linearifolia",0.5
2018,"PFTC3","March","QUE","C",2,"Forb","Asteraceae","Aphanactis","villosa","Aphanactis villosa",2
2018,"PFTC3","March","QUE","C",2,"Forb","Asteraceae","Gamochaeta","coarctata","Gamochaeta coarctata",0.5
2018,"PFTC3","March","QUE","C",2,"Forb","Asteraceae","Hypochaeris","taraxacoides","Hypochaeris taraxacoides",2
2018,"PFTC3","March","QUE","C",2,"Forb","Asteraceae","Oritrophium","hieracioides","Oritrophium hieracioides",0.5
2018,"PFTC3","March","QUE","C",2,"Forb","Asteraceae","Perezia","pungens","Perezia pungens",0.5
2018,"PFTC3","March","QUE","C",2,"Forb","Asteraceae","Werneria","villosa","Werneria villosa",1
2018,"PFTC3","March","QUE","C",2,"Woody","Asteraceae","Baccharis","caespitosa","Baccharis caespitosa",1
2018,"PFTC3","March","QUE","C",2,"Forb","Caprifoliaceae","Belonanthus","hispidus","Belonanthus hispidus",0.5
2018,"PFTC3","March","QUE","C",2,"Gramminoid","Cyperaceae","Carex","boliviensis","Carex boliviensis",0.5
2018,"PFTC3","March","QUE","C",2,"Gramminoid","Cyperaceae","Carex","pichinchensis","Carex pichinchensis",3
2018,"PFTC3","March","QUE","C",2,"Woody","Ericaceae","Gaultheria","glomerata","Gaultheria glomerata",0.5
2018,"PFTC3","March","QUE","C",2,"Woody","Ericaceae","Pernettya","prostrata","Pernettya prostrata",2
2018,"PFTC3","March","QUE","C",2,"Forb","Gentianaceae","Gentiana","sedifolia","Gentiana sedifolia",0.5
2018,"PFTC3","March","QUE","C",2,"Forb","Geraniaceae","Geranium","sessiliflorum","Geranium sessiliflorum",0.5
2018,"PFTC3","March","QUE","C",2,"Woody","Hypericaceae","Hypericum","andinum","Hypericum andinum",0.5
2018,"PFTC3","March","QUE","C",2,"Gramminoid","Juncaceae","Luzula","racemosa","Luzula racemosa",1
2018,"PFTC3","March","QUE","C",2,"Forb","Orchidaceae","Pterichis","sp1","Pterichis sp1",0.5
2018,"PFTC3","March","QUE","C",2,"Forb","Oxalidaceae","Oxalis","oreocharis","Oxalis oreocharis",0.5
2018,"PFTC3","March","QUE","C",2,"Gramminoid","Poaceae","Agrostis","haenkeana","Agrostis haenkeana",5
2018,"PFTC3","March","QUE","C",2,"Gramminoid","Poaceae","Agrostis","mertensii","Agrostis mertensii",5
2018,"PFTC3","March","QUE","C",2,"Gramminoid","Poaceae","Agrostis","trichodes","Agrostis trichodes",4
2018,"PFTC3","March","QUE","C",2,"Gramminoid","Poaceae","Anatherostipa","hans-meyeri","Anatherostipa hans-meyeri",25
2018,"PFTC3","March","QUE","C",2,"Gramminoid","Poaceae","Bromus","lanatus","Bromus lanatus",1
2018,"PFTC3","March","QUE","C",2,"Gramminoid","Poaceae","Calamagrostis","tarmensis","Calamagrostis tarmensis",20
2018,"PFTC3","March","QUE","C",2,"Gramminoid","Poaceae","Festuca","sp4","Festuca sp4",5
2018,"PFTC3","March","QUE","C",2,"Gramminoid","Poaceae","Poa","spicigera","Poa spicigera",0.5
