"country","project","id","year","month","date","site","treatment","plot_id","functional_group","family","name_2020","genus","species","individual_nr","plant_height_cm","nr_leaves","bulk","wet_mass_total_g","leaf_thickness_1_mm","leaf_thickness_2_mm","leaf_thickness_3_mm","dry_mass_total_g","number_leaves_scan","leaf_area_total_cm2","wet_mass_g","dry_mass_g","leaf_area_cm2","sla_cm2_g","ldmc","leaf_thickness_ave_mm","area_flag","dry_flag","wet_flag"
"PE","PFTC5","ADY1845",2020,"March","2020-03-12","ACJ","C",1,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,6.5,NA,NA,0.068,0.332,0.336,0.512,0.0463,2,3.907,NA,NA,NA,NA,NA,0.393333333333333,NA,NA,NA
"PE","PFTC5","ADZ3452",2020,"March","2020-03-12","ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,7,3,NA,0.155,0.285,0.29,0.278,0.0155,1,2.074,0.0516666666666667,0.00516666666666667,0.691333333333333,133.806451612903,0.1,0.284333333333333,NA,NA,NA
"PE","PFTC5","AEO9502",2020,"March","2020-03-12","ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,9,1,NA,0.217,0.35,0.28,0.287,0.0583,6,5.404,0.217,0.0583,5.404,92.6929674099486,0.268663594470046,0.305666666666667,NA,NA,NA
"PE","PFTC5","AAE4190",2020,"March","2020-03-12","ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,7,1,NA,0.123,0.299,0.273,0.266,0.0373,2,3.39,0.123,0.0373,3.39,90.8847184986595,0.303252032520325,0.279333333333333,NA,NA,NA
"PE","PFTC5","AEP3671",2020,"March","2020-03-12","ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,9,3,NA,0.137,0.305,0.341,0.246,0.0339,2,3.549,0.0456666666666667,0.0113,1.183,104.690265486726,0.247445255474453,0.297333333333333,NA,NA,NA
"PE","PFTC5","AUZ0851",2020,"March","2020-03-12","ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,7,4,NA,0.145,0.257,0.309,0.31,0.0447,3,4.097,0.03625,0.011175,1.02425,91.65548098434,0.308275862068966,0.292,NA,NA,NA
"PE","PFTC5","AEC5667",2020,"March","2020-03-12","ACJ","C",2,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,22.5,3,NA,0.033,0.237,0.25,0.292,0.0078,1,1.252,0.011,0.0026,0.417333333333333,160.512820512821,0.236363636363636,0.259666666666667,NA,NA,NA
"PE","PFTC5","AVU1713",2020,"March","2020-03-12","ACJ","C",2,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,9,1,NA,0.098,0.251,0.242,0.253,0.0273,3,2.2,0.098,0.0273,2.2,80.5860805860806,0.278571428571429,0.248666666666667,NA,NA,NA
"PE","PFTC5","ATO7404",2020,"March","2020-03-12","ACJ","C",4,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",2,9.5,4,NA,0.076,0.267,0.26,NA,0.0178,2,2.502,0.019,0.00445,0.6255,140.561797752809,0.234210526315789,0.2635,NA,NA,NA
"PE","PFTC5","AUF2369",2020,"March","2020-03-12","ACJ","C",4,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",2,9.5,1,NA,0.085,0.291,0.278,NA,0.0181,1,2.962,0.085,0.0181,2.962,163.646408839779,0.212941176470588,0.2845,NA,NA,NA
