"","year","season","month","site","treatment","plot_id","individual_nr","id","functional_group","family","taxon","burn_year","elevation","latitude","longitude","course","csr_strategy","s_percent","c_percent","r_percent","trait","value"
"1",2018,"wet_season","March","ACJ","C",1,1,"GNJ1986","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"dry_mass_g",NA
"2",2018,"wet_season","March","ACJ","C",1,1,"GNJ1986","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"ldmc",0.435374149659864
"3",2018,"wet_season","March","ACJ","C",1,1,"GNJ1986","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"leaf_area_cm2",NA
"4",2018,"wet_season","March","ACJ","C",1,1,"GNJ1986","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"leaf_thickness_mm",NA
"5",2018,"wet_season","March","ACJ","C",1,1,"GNJ1986","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"plant_height_cm",NA
"6",2018,"wet_season","March","ACJ","C",1,1,"GNJ1986","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"sla_cm2_g",22.5215419501134
"7",2018,"wet_season","March","ACJ","C",1,1,"GNJ1986","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC3",NA,NA,NA,NA,"wet_mass_g",NA
"8",2020,"wet_season","March","ACJ","C",1,1,"BIP2743","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"dry_mass_g",NA
"9",2020,"wet_season","March","ACJ","C",1,1,"BIP2743","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"ldmc",NA
"10",2020,"wet_season","March","ACJ","C",1,1,"BIP2743","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"leaf_area_cm2",NA
"11",2020,"wet_season","March","ACJ","C",1,1,"BIP2743","Woody","Asteraceae","Baccharis genistelloides",NA,3487.4,-13.176034,-71.628828,"PFTC5",NA,NA,NA,NA,"leaf_thickness_mm",0.195
