"","treatment","site","trait","moment","plot_id","estimate","ci_high","ci_low"
"1","C","ACJ","dry_mass_g","kurtosis","1",20.1970462437392,52.4667500540398,-12.0726575665613
"2","C","ACJ","dry_mass_g","kurtosis","2",2.60803623791555,15.445836603238,-10.2297641274069
"3","C","ACJ","dry_mass_g","kurtosis","3",13.0996240629294,31.378405675032,-5.17915754917316
"4","C","ACJ","dry_mass_g","kurtosis","4",8.38667323029924,19.0614156338586,-2.28806917326015
"5","C","ACJ","dry_mass_g","kurtosis","5",4.30834635541576,10.2900306368065,-1.67333792597495
"6","C","ACJ","dry_mass_g","mean","1",0.0836210831101437,0.108246039440913,0.0589961267793743
"7","C","ACJ","dry_mass_g","mean","2",0.326243165161455,0.464502718052761,0.18798361227015
"8","C","ACJ","dry_mass_g","mean","3",0.13259726622479,0.192402195970561,0.0727923364790196
"9","C","ACJ","dry_mass_g","mean","4",0.062688344508079,0.08332493545629,0.0420517535598681
"10","C","ACJ","dry_mass_g","mean","5",0.0728406560801186,0.0933074352587296,0.0523738769015076
"11","C","ACJ","dry_mass_g","skewness","1",3.25340983999909,5.74617093529937,0.760648744698809
"12","C","ACJ","dry_mass_g","skewness","2",0.245438437504866,1.87090858869058,-1.38003171368085
"13","C","ACJ","dry_mass_g","skewness","3",2.81870251431247,4.56714787649802,1.07025715212691
"14","C","ACJ","dry_mass_g","skewness","4",2.22681799873533,3.4499314309269,1.00370456654375
"15","C","ACJ","dry_mass_g","skewness","5",1.44115331466366,2.23851797180576,0.643788657521552
"16","C","ACJ","dry_mass_g","variance","1",0.00803266439861049,0.010969858715648,0.005095470081573
"17","C","ACJ","dry_mass_g","variance","2",0.0330472344494212,0.0503311252432798,0.0157633436555627
"18","C","ACJ","dry_mass_g","variance","3",0.0184954553236232,0.0317539877548532,0.0052369228923932
"19","C","ACJ","dry_mass_g","variance","4",0.00323009781925692,0.00481415617009191,0.00164603946842192
"20","C","ACJ","dry_mass_g","variance","5",0.00330171183165926,0.00477511865137119,0.00182830501194732
"21","C","ACJ","ldmc","kurtosis","1",0.198945259494483,1.46274888134326,-1.06485836235429
"22","C","ACJ","ldmc","kurtosis","2",11.0538151231642,18.467606731819,3.64002351450948
"23","C","ACJ","ldmc","kurtosis","3",1.60638418297084,2.58026632717388,0.632502038767799
"24","C","ACJ","ldmc","kurtosis","4",1.63536527207765,3.33162603118929,-0.0608954870339875
"25","C","ACJ","ldmc","kurtosis","5",1.88490162695517,3.69069560922093,0.0791076446894163
"26","C","ACJ","ldmc","mean","1",0.438284976275979,0.449360306952458,0.427209645599499
"27","C","ACJ","ldmc","mean","2",0.475424337158815,0.481750143180337,0.469098531137293
"28","C","ACJ","ldmc","mean","3",0.464702497901868,0.47546432797047,0.453940667833267
"29","C","ACJ","ldmc","mean","4",0.472220099509197,0.484477634112766,0.459962564905628
"30","C","ACJ","ldmc","mean","5",0.461735341721585,0.485106996370267,0.438363687072903
"31","C","ACJ","ldmc","skewness","1",-0.908512967270214,-0.454582780587536,-1.36244315395289
"32","C","ACJ","ldmc","skewness","2",-2.60930431736835,-1.66661347546805,-3.55199515926865
"33","C","ACJ","ldmc","skewness","3",-0.759791036738127,-0.466083399056808,-1.05349867441945
"34","C","ACJ","ldmc","skewness","4",-0.200682666958339,0.32040714785314,-0.721772481769818
"35","C","ACJ","ldmc","skewness","5",-1.29271822130328,-0.745854477325363,-1.83958196528121
"36","C","ACJ","ldmc","variance","1",0.0146681540394026,0.017234305865126,0.0121020022136792
"37","C","ACJ","ldmc","variance","2",0.00547774677932035,0.00749927194435457,0.00345622161428612
"38","C","ACJ","ldmc","variance","3",0.00941961355863231,0.0114492869095127,0.00738994020775197
"39","C","ACJ","ldmc","variance","4",0.00788053631182415,0.00937859170204812,0.00638248092160019
"40","C","ACJ","ldmc","variance","5",0.01080429235266,0.0142509759740441,0.00735760873127594
"41","C","ACJ","leaf_area_cm2","kurtosis","1",18.9394768500136,50.5071434261189,-12.6281897260916
"42","C","ACJ","leaf_area_cm2","kurtosis","2",1.22431128519272,9.10774771951017,-6.65912514912473
"43","C","ACJ","leaf_area_cm2","kurtosis","3",11.0671727008054,24.9474847472852,-2.81313934567436
"44","C","ACJ","leaf_area_cm2","kurtosis","4",4.48006672998098,8.03707736957774,0.923056090384226
"45","C","ACJ","leaf_area_cm2","kurtosis","5",6.33474182958011,16.7863994120273,-4.11691575286711
"46","C","ACJ","leaf_area_cm2","mean","1",5.37663977307553,7.07356178959728,3.67971775655379
"47","C","ACJ","leaf_area_cm2","mean","2",23.8245601062272,34.092923613106,13.5561965993485
"48","C","ACJ","leaf_area_cm2","mean","3",8.95945164666363,13.3689811570198,4.54992213630748
"49","C","ACJ","leaf_area_cm2","mean","4",3.48003848760191,4.71533107489121,2.2447459003126
"50","C","ACJ","leaf_area_cm2","mean","5",4.5067221282409,5.75885522662232,3.25458902985947
"51","C","ACJ","leaf_area_cm2","skewness","1",3.21715191261236,5.74393737252768,0.690366452697047
"52","C","ACJ","leaf_area_cm2","skewness","2",-0.0370472910165043,1.09434015638523,-1.16843473841824
"53","C","ACJ","leaf_area_cm2","skewness","3",2.66440391318478,4.15067944656058,1.17812837980898
"54","C","ACJ","leaf_area_cm2","skewness","4",1.9288657903124,2.52499425335369,1.33273732727111
"55","C","ACJ","leaf_area_cm2","skewness","5",1.81112055649038,2.94071763151799,0.681523481462762
"56","C","ACJ","leaf_area_cm2","variance","1",43.0015159708387,60.1765291230151,25.8265028186624
"57","C","ACJ","leaf_area_cm2","variance","2",195.686350476616,302.3587852315,89.0139157217321
"58","C","ACJ","leaf_area_cm2","variance","3",108.427320010535,185.196006993179,31.6586330278911
"59","C","ACJ","leaf_area_cm2","variance","4",11.0793287953374,16.5356923274419,5.62296526323292
"60","C","ACJ","leaf_area_cm2","variance","5",15.981357850437,23.4076507463001,8.55506495457386
"61","C","ACJ","leaf_thickness_mm","kurtosis","1",-0.391660776802894,1.02660610085362,-1.8099276544594
"62","C","ACJ","leaf_thickness_mm","kurtosis","2",1.8043834638691,3.10012537815409,0.508641549584111
"63","C","ACJ","leaf_thickness_mm","kurtosis","3",-0.787295580226827,-0.0666985993069271,-1.50789256114673
"64","C","ACJ","leaf_thickness_mm","kurtosis","4",0.891384557382529,1.64983603400304,0.132933080762023
"65","C","ACJ","leaf_thickness_mm","kurtosis","5",1.02809214552542,4.33117895975654,-2.2749946687057
"66","C","ACJ","leaf_thickness_mm","mean","1",0.397472613541667,0.410409875024374,0.384535352058959
"67","C","ACJ","leaf_thickness_mm","mean","2",0.33660600625,0.369869746864661,0.303342265635339
"68","C","ACJ","leaf_thickness_mm","mean","3",0.372060172916667,0.384999622165591,0.359120723667742
"69","C","ACJ","leaf_thickness_mm","mean","4",0.440948208333333,0.463171310312825,0.418725106353842
"70","C","ACJ","leaf_thickness_mm","mean","5",0.412888298958333,0.461044206800385,0.364732391116282
"71","C","ACJ","leaf_thickness_mm","skewness","1",-0.343647832699787,0.0815223005629569,-0.76881796596253
"72","C","ACJ","leaf_thickness_mm","skewness","2",1.42786331265752,1.93386260374958,0.921864021565463
"73","C","ACJ","leaf_thickness_mm","skewness","3",-0.0402204741663468,0.232341662027955,-0.312782610360649
"74","C","ACJ","leaf_thickness_mm","skewness","4",-0.709793000016452,-0.467167744332248,-0.952418255700655
"75","C","ACJ","leaf_thickness_mm","skewness","5",-0.108710880775146,0.530985959340661,-0.748407720890952
"76","C","ACJ","leaf_thickness_mm","variance","1",0.0182860755085977,0.0224854411675539,0.0140867098496414
"77","C","ACJ","leaf_thickness_mm","variance","2",0.00824119926766122,0.00998456986593417,0.00649782866938828
"78","C","ACJ","leaf_thickness_mm","variance","3",0.0166662629064873,0.0192861311292993,0.0140463946836753
"79","C","ACJ","leaf_thickness_mm","variance","4",0.00976067973859401,0.0114015892479625,0.00811977022922548
"80","C","ACJ","leaf_thickness_mm","variance","5",0.0141037826907375,0.0175775949898141,0.010629970391661
"81","C","ACJ","plant_height_cm","kurtosis","1",-0.998154640537786,-0.774807381721889,-1.22150189935368
"82","C","ACJ","plant_height_cm","kurtosis","2",1.39787465644937,4.70283120966569,-1.90708189676696
"83","C","ACJ","plant_height_cm","kurtosis","3",-0.784383670257958,-0.573243417396731,-0.995523923119185
"84","C","ACJ","plant_height_cm","kurtosis","4",-0.282509337579908,0.0960063320544512,-0.661025007214268
"85","C","ACJ","plant_height_cm","kurtosis","5",-0.218148222841431,0.432497562624281,-0.868794008307144
"86","C","ACJ","plant_height_cm","mean","1",41.9609875,45.9091988283372,38.0127761716628
"87","C","ACJ","plant_height_cm","mean","2",63.25488875,64.9040074766512,61.6057700233488
"88","C","ACJ","plant_height_cm","mean","3",46.48205,49.6422224101823,43.3218775898177
"89","C","ACJ","plant_height_cm","mean","4",37.390258125,41.1559994885904,33.6245167614096
"90","C","ACJ","plant_height_cm","mean","5",46.9826475,51.3476503428417,42.6176446571583
"91","C","ACJ","plant_height_cm","skewness","1",-0.0748721483889403,0.317636195264008,-0.467380492041888
"92","C","ACJ","plant_height_cm","skewness","2",-1.21411327660465,-0.428123210642042,-2.00010334256725
"93","C","ACJ","plant_height_cm","skewness","3",0.114201816510676,0.271730692982912,-0.0433270599615589
"94","C","ACJ","plant_height_cm","skewness","4",0.165246412270079,0.59748431569085,-0.266991491150692
"95","C","ACJ","plant_height_cm","skewness","5",-0.392364839279266,0.196283260383516,-0.981012938942047
"96","C","ACJ","plant_height_cm","variance","1",542.913712233668,597.769574223753,488.057850243583
"97","C","ACJ","plant_height_cm","variance","2",434.274665342965,568.586971073089,299.962359612841
"98","C","ACJ","plant_height_cm","variance","3",470.733205525126,548.762418524784,392.703992525467
"99","C","ACJ","plant_height_cm","variance","4",300.388428669284,346.267881773093,254.508975565475
"100","C","ACJ","plant_height_cm","variance","5",408.787972371859,497.873541851736,319.702402891982
"101","C","ACJ","sla_cm2_g","kurtosis","1",13.0728048323805,31.8037178637556,-5.65810819899456
"102","C","ACJ","sla_cm2_g","kurtosis","2",21.6440518524632,41.4156714920757,1.87243221285074
"103","C","ACJ","sla_cm2_g","kurtosis","3",14.5179623656189,35.9938727745586,-6.95794804332086
"104","C","ACJ","sla_cm2_g","kurtosis","4",14.6651563218102,28.6943074031062,0.63600524051412
"105","C","ACJ","sla_cm2_g","kurtosis","5",6.39327961355071,13.8587506270696,-1.07219139996817
"106","C","ACJ","sla_cm2_g","mean","1",61.1538823709137,81.3813243361434,40.9264404056839
"107","C","ACJ","sla_cm2_g","mean","2",63.4515742959209,80.9622804807594,45.9408681110825
"108","C","ACJ","sla_cm2_g","mean","3",55.4230225510841,70.9432786718669,39.9027664303013
"109","C","ACJ","sla_cm2_g","mean","4",48.9525914838922,62.6304277532848,35.2747552144995
"110","C","ACJ","sla_cm2_g","mean","5",53.8886841178623,70.7102066706833,37.0671615650413
"111","C","ACJ","sla_cm2_g","skewness","1",2.82595931008309,4.4499145635522,1.20200405661398
"112","C","ACJ","sla_cm2_g","skewness","2",3.0333461366416,5.00939422529137,1.05729804799183
"113","C","ACJ","sla_cm2_g","skewness","3",2.72514482121784,4.52941293245951,0.92087670997617
"114","C","ACJ","sla_cm2_g","skewness","4",2.96041888113304,4.40826176382677,1.51257599843932
"115","C","ACJ","sla_cm2_g","skewness","5",2.03099233839211,2.83488052390069,1.22710415288353
"116","C","ACJ","sla_cm2_g","variance","1",1775.00087335074,2964.42990126573,585.571845435764
"117","C","ACJ","sla_cm2_g","variance","2",427.224180606598,717.809561428017,136.638799785178
"118","C","ACJ","sla_cm2_g","variance","3",627.465272090697,884.762711122712,370.167833058682
"119","C","ACJ","sla_cm2_g","variance","4",388.622000200725,569.097518761653,208.146481639797
"120","C","ACJ","sla_cm2_g","variance","5",676.073384011757,1143.852233194,208.294534829514
"121","C","ACJ","wet_mass_g","kurtosis","1",25.7480010423095,59.5983040656344,-8.10230198101544
"122","C","ACJ","wet_mass_g","kurtosis","2",8.25721668001007,33.0197552066542,-16.505321846634
"123","C","ACJ","wet_mass_g","kurtosis","3",13.6677964106127,35.4452371962078,-8.10964437498241
"124","C","ACJ","wet_mass_g","kurtosis","4",7.55968317237762,13.5289731782482,1.59039316650704
"125","C","ACJ","wet_mass_g","kurtosis","5",6.71661665402806,13.2370859031306,0.196147404925534
"126","C","ACJ","wet_mass_g","mean","1",0.226819500191796,0.298800837336557,0.154838163047035
"127","C","ACJ","wet_mass_g","mean","2",0.687056359782315,0.975280445285759,0.39883227427887
"128","C","ACJ","wet_mass_g","mean","3",0.302960714898461,0.425224726415266,0.180696703381657
"129","C","ACJ","wet_mass_g","mean","4",0.140122857912031,0.187342904082249,0.0929028117418126
"130","C","ACJ","wet_mass_g","mean","5",0.162851278213277,0.205432232345935,0.12027032408062
"131","C","ACJ","wet_mass_g","skewness","1",4.0475108564375,6.56808890904238,1.52693280383263
"132","C","ACJ","wet_mass_g","skewness","2",0.840603466778076,3.17022478181228,-1.48901784825613
"133","C","ACJ","wet_mass_g","skewness","3",2.78117856481648,4.88232395581386,0.680033173819095
"134","C","ACJ","wet_mass_g","skewness","4",2.26309446590402,3.02819143456759,1.49799749724045
"135","C","ACJ","wet_mass_g","skewness","5",1.90210171398689,2.68465523496551,1.11954819300826
"136","C","ACJ","wet_mass_g","variance","1",0.115488665777614,0.167698687218593,0.0632786443366356
"137","C","ACJ","wet_mass_g","variance","2",0.151813495812361,0.229864417979459,0.0737625736452635
"138","C","ACJ","wet_mass_g","variance","3",0.101102520682273,0.14800584002274,0.0541992013418061
"139","C","ACJ","wet_mass_g","variance","4",0.0185775909387353,0.0287468232996433,0.00840835857782722
"140","C","ACJ","wet_mass_g","variance","5",0.0192709122930828,0.0290062007317413,0.0095356238544243
"141","NB","ACJ","dry_mass_g","kurtosis","1",23.1555656317375,50.1183473794627,-3.80721611598782
"142","NB","ACJ","dry_mass_g","kurtosis","2",-0.36843574352559,0.909587425433097,-1.64645891248428
"143","NB","ACJ","dry_mass_g","kurtosis","3",-0.651855447749104,0.0923947626487159,-1.39610565814692
"144","NB","ACJ","dry_mass_g","kurtosis","4",-1.17437002512,-0.908984589414621,-1.43975546082537
"145","NB","ACJ","dry_mass_g","kurtosis","5",0.0989084215573074,0.940730227402095,-0.74291338428748
"146","NB","ACJ","dry_mass_g","mean","1",0.173349906672438,0.213872784127015,0.132827029217862
"147","NB","ACJ","dry_mass_g","mean","2",0.0998028461111111,0.120179966382493,0.079425725839729
"148","NB","ACJ","dry_mass_g","mean","3",0.2170139275,0.270503374730072,0.163524480269928
"149","NB","ACJ","dry_mass_g","mean","4",0.271470655458333,0.364741838643738,0.178199472272928
"150","NB","ACJ","dry_mass_g","mean","5",0.186154290833333,0.237505953283056,0.134802628383611
"151","NB","ACJ","dry_mass_g","skewness","1",3.19836017806212,5.61211301654267,0.784607339581576
"152","NB","ACJ","dry_mass_g","skewness","2",0.608512441551765,0.953933217831076,0.263091665272454
"153","NB","ACJ","dry_mass_g","skewness","3",0.710231479060615,1.04006495875744,0.380397999363795
"154","NB","ACJ","dry_mass_g","skewness","4",-0.0346551864979629,0.145171318918002,-0.214481691913928
"155","NB","ACJ","dry_mass_g","skewness","5",0.935451934035862,1.50132726558323,0.369576602488493
"156","NB","ACJ","dry_mass_g","variance","1",0.0490948725913631,0.0730208438752539,0.0251689013074723
"157","NB","ACJ","dry_mass_g","variance","2",0.00438477105638647,0.00600266880083149,0.00276687331194145
