country,project,course,id,year,month,date,gradient,site,treatment,plot_id,functional_group,family,taxon,genus,species,individual_nr,plant_height_cm,nr_leaves,number_leaves_scan,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_mm,area_flag,dry_flag,wet_flag
PE,T,PFTC3,DAV4239,2018,March,2018-03-17T00:00:00Z,1,QUE,B,3,Gramminoid,Cyperaceae,Carex boliviensis,Carex,boliviensis,5,7,1,1,0.025,0.01,1.212,121.19999999999999,0.39999999999999997,0.197,,,
PE,T,PFTC3,CCE2112,2018,March,2018-03-16T00:00:00Z,1,TRE,C,2,Woody,Hypericaceae,Hypericum andinum,Hypericum,andinum,3,49,20,20,3.5e-4,2.5e-4,0.027750000000000004,111.00000000000001,0.7142857142857143,0.07250000000000001,,,
PE,T,PFTC3,CGG3537,2018,March,2018-03-17T00:00:00Z,1,QUE,B,1,Gramminoid,Cyperaceae,Carex boliviensis,Carex,boliviensis,1,10,1,1,0.02,0.013,1.661,127.76923076923077,0.6499999999999999,0.15533333333333332,,,
PE,T,PFTC3,CDU8518,2018,March,2018-03-17T00:00:00Z,1,QUE,B,1,Gramminoid,Poaceae,Agrostis breviculmis,Agrostis,breviculmis,3,3,10,10,0.0015,6.000000000000001e-4,0.0669,111.49999999999999,0.4,0.124,,,
PE,T,PFTC3,CUF3910,2018,March,2018-03-17T00:00:00Z,1,QUE,B,5,Gramminoid,Poaceae,Agrostis mertensii,Agrostis,mertensii,3,8,3,3,0.0033333333333333335,0.0016666666666666668,0.218,130.79999999999998,0.5,0.10433333333333333,,,
PE,T,PFTC3,BNT6011,2018,March,2018-03-16T00:00:00Z,1,TRE,C,5,Gramminoid,Poaceae,Bromus lanatus,Bromus,lanatus,5,9,1,2,0.128,0.055,7.035,127.9090909090909,0.4296875,0.20633333333333334,,,
PE,T,PFTC3,CCG1447,2018,March,2018-03-16T00:00:00Z,1,TRE,C,2,Woody,Hypericaceae,Hypericum andinum,Hypericum,andinum,1,45,19,19,1.0526315789473685e-4,NA,0.021052631578947368,NA,NA,0.0815,,NA,
PE,T,PFTC3,CJZ1111,2018,March,2018-03-16T00:00:00Z,1,TRE,C,2,Gramminoid,Poaceae,Festuca dolichophylla,Festuca,dolichophylla,4,59,3,4,0.14666666666666667,0.06333333333333334,3.199,50.51052631578947,0.4318181818181819,0.6013333333333334,,,
PE,T,PFTC3,BOK0761,2018,March,2018-03-16T00:00:00Z,1,TRE,C,5,Gramminoid,Cyperaceae,Trichophorum rigidum,Trichophorum,rigidum,2,45,1,3,0.034,0.02,1.384,69.19999999999999,0.5882352941176471,0.3803333333333333,,,
PE,T,PFTC3,CLM9015,2018,March,2018-03-16T00:00:00Z,1,TRE,C,3,Gramminoid,Cyperaceae,Carex pygmaea,Carex,pygmaea,3,7,2,2,0.0275,0.012,1.42,118.33333333333333,0.4363636363636364,0.16,,,
PE,T,PFTC3,CHO7614,2018,March,2018-03-16T00:00:00Z,1,TRE,C,3,Forb,Asteraceae,Oreithales integrifolia,Oreithales,integrifolia,2,17,1,1,0.451,0.085,10.389,122.22352941176469,0.188470066518847,0.264,,,
PE,T,PFTC3,CWQ0567,2018,March,2018-03-16T00:00:00Z,1,TRE,C,3,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,3,12,1,1,0.043,0.009,1.683,187.00000000000003,0.20930232558139536,0.24966666666666668,,,
PE,T,PFTC3,CIN3158,2018,March,2018-03-16T00:00:00Z,1,TRE,C,1,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora,macrochaeta,4,44,2,3,0.14,0.0705,5.477,77.68794326241137,0.5035714285714284,0.26266666666666666,,,
PE,T,PFTC3,CHD9630,2018,March,2018-03-16T00:00:00Z,1,TRE,C,2,Forb,Asteraceae,Oritrophium hieracioides,Oritrophium,hieracioides,1,NA,1,1,0.37,0.081,12.888,159.11111111111111,0.21891891891891893,0.26666666666666666,,,
PE,T,PFTC3,CHN7653,2018,March,2018-03-16T00:00:00Z,1,TRE,C,3,Forb,Asteraceae,Oreithales integrifolia,Oreithales,integrifolia,3,7,1,1,0.17,0.034,3.518,103.4705882352941,0.2,0.23166666666666666,,,
PE,T,PFTC3,CHZ2079,2018,March,2018-03-16T00:00:00Z,1,TRE,C,3,Forb,Asteraceae,Oreithales integrifolia,Oreithales,integrifolia,4,8,1,1,0.2,0.033,3.063,92.81818181818181,0.165,0.32033333333333336,,,
