country,course,project,id,year,month,date,gradient,site,treatment,plot_id,functional_group,family,taxon,genus,species,individual_nr,plant_height_cm,nr_leaves,number_leaves_scan,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_mm,area_flag,dry_flag,wet_flag
PE,PFTC5,T,ADY1845,2020,March,2020-03-12,1,ACJ,C,1,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,6.5,1,2,0.068,0.0463,3.907,84.38444924406048,0.6808823529411764,0.39333333333333337,NA,NA,NA
PE,PFTC5,T,ADZ3452,2020,March,2020-03-12,1,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,7,1,1,0.155,0.0155,2.074,133.8064516129032,0.1,0.2843333333333333,NA,NA,NA
PE,PFTC5,T,AEO9502,2020,March,2020-03-12,1,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,2,9,1,6,0.217,0.0583,5.404,92.69296740994855,0.26866359447004606,0.30566666666666664,NA,NA,NA
PE,PFTC5,T,AAE4190,2020,March,2020-03-12,1,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,7,1,2,0.123,0.0373,3.3899999999999997,90.88471849865951,0.30325203252032523,0.2793333333333333,NA,NA,NA
PE,PFTC5,T,AEP3671,2020,March,2020-03-12,1,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,2,9,1,2,0.137,0.0339,3.5490000000000004,104.69026548672568,0.24744525547445254,0.29733333333333334,NA,NA,NA
PE,PFTC5,T,AUZ0851,2020,March,2020-03-12,1,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,7,1,3,0.145,0.0447,4.0969999999999995,91.65548098434004,0.3082758620689655,0.292,NA,NA,NA
PE,PFTC5,T,AEC5667,2020,March,2020-03-12,1,ACJ,C,2,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,22.5,1,1,0.033,0.0078,1.252,160.51282051282053,0.23636363636363633,0.25966666666666666,NA,NA,NA
PE,PFTC5,T,AVU1713,2020,March,2020-03-12,1,ACJ,C,2,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,2,9,1,3,0.098,0.0273,2.1999999999999997,80.58608058608057,0.2785714285714286,0.24866666666666667,NA,NA,NA
PE,PFTC5,T,ATO7404,2020,March,2020-03-12,1,ACJ,C,4,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,2,9.5,1,2,0.076,0.0178,2.502,140.56179775280899,0.23421052631578948,0.2635,NA,NA,NA
PE,PFTC5,T,AUF2369,2020,March,2020-03-12,1,ACJ,C,4,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,2,9.5,1,1,0.085,0.0181,2.962,163.646408839779,0.21294117647058824,0.2845,NA,NA,NA
