country,course,project,id,year,month,date,gradient,site,treatment,plot_id,functional_group,family,name_2020,genus,species,individual_nr,plant_height_cm,nr_leaves,number_leaves_scan,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_mm,area_flag,dry_flag,wet_flag
PE,Puna,T,13-Jan,2019,November,2019-11-24,1,TRE,B,5,Forb,Asteraceae,Gamochaeta coarctata,Gamochaeta,coarctata,1,2.5,3,5,0.0112,0.0038,0.7458,196.26315789473685,0.3392857142857143,0.23933333333333334,NA,NA,NA
PE,Puna,T,A,2019,April,2019-04-20,1,QUE,B,3,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,2,4,5,5,0.019,0.0118,0.6642,56.28813559322034,0.6210526315789474,0.37333333333333335,NA,NA,NA
PE,Puna,T,AAD5960,2019,April,2019-04-10,1,ACJ,C,5,Forb,Orchidaceae,Pterichis sp1,Pterichis,sp1,5,12,1,1,0.28,0.035,5.5234,157.81142857142854,0.125,0.454,NA,NA,NA
PE,Puna,T,AAE3544,2019,April,2019-04-10,1,ACJ,C,5,Forb,Orchidaceae,Pterichis sp1,Pterichis,sp1,2,15,1,1,0.424,0.054,8.63,159.81481481481484,0.12735849056603774,0.36233333333333334,NA,NA,NA
PE,Puna,T,AAF5786,2019,April,2019-04-10,1,ACJ,C,1,Forb,Asteraceae,Senecio rhizomathus,Senecio,rhizomathus,5,3,1,1,0.364,0.095,7.8418,82.54526315789474,0.260989010989011,0.41833333333333333,NA,NA,NA
PE,Puna,T,AAV3725,2019,April,2019-04-10,1,ACJ,C,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,2,19,6,6,0.0325,0.013333333333333334,0.8109833333333333,60.82374999999999,0.41025641025641024,0.487,NA,NA,NA
PE,Puna,T,AAW1440,2019,April,2019-04-10,1,ACJ,C,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,3,33,6,6,0.02766666666666667,0.011166666666666667,0.6974833333333333,62.461194029850745,0.40361445783132527,0.451,NA,NA,NA
PE,Puna,T,AAX2204,2019,April,2019-04-10,1,ACJ,C,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,5,35,4,4,0.03825,0.016,0.900225,56.2640625,0.41830065359477125,0.528,NA,NA,NA
PE,Puna,T,AAZ6777,2019,April,2019-04-10,1,ACJ,C,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,4,35,5,5,0.035199999999999995,0.0164,0.80478,49.071951219512194,0.465909090909091,0.5453333333333333,NA,NA,NA
PE,Puna,T,ABC5262,2019,April,2019-04-12,1,ACJ,B,2,Gramminoid,Poaceae,Calamagrostis tarmensis,Calamagrostis,tarmensis,3,42,2,2,0.1625,0.07,4.73445,67.63499999999999,0.4307692307692308,0.49166666666666664,NA,NA,NA
PE,Puna,T,ABD5973,2019,April,2019-04-11,1,TRE,C,1,Forb,Orchidaceae,Pterichis sp1,Pterichis,sp1,1,6,1,1,0.166,0.02,3.4794,173.97,0.12048192771084337,0.49333333333333335,NA,NA,NA
PE,Puna,T,ABE8459,2019,April,2019-04-11,1,TRE,C,1,Forb,Orchidaceae,Pterichis sp1,Pterichis,sp1,2,5,1,1,0.162,0.024,3.848,160.33333333333331,0.14814814814814814,0.43266666666666664,NA,NA,NA
PE,Puna,T,ABF0520,2019,April,2019-04-11,1,TRE,C,1,Forb,Orchidaceae,Pterichis sp1,Pterichis,sp1,3,5,1,1,0.166,0.027,3.8583,142.9,0.16265060240963855,0.366,NA,NA,NA
PE,Puna,T,ABG8659,2019,April,2019-04-10,1,TRE,C,1,Forb,Orchidaceae,Pterichis sp1,Pterichis,sp1,4,10,2,2,0.101,0.008,2.3055,288.1875,0.07920792079207921,0.2866666666666667,NA,NA,NA
PE,Puna,T,ABH3267,2019,April,2019-04-10,1,ACJ,C,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,1,30,6,6,0.030666666666666665,0.0135,0.7444833333333333,55.14691358024691,0.44021739130434784,0.517,NA,NA,NA
PE,Puna,T,ABM2693,2019,April,2019-04-10,1,WAY,C,4,Gramminoid,Cyperaceae,Carex cf. crinalis,Carex,cf. crinalis,5,23,1,1,0.12,0.05,6.31,126.19999999999999,0.4166666666666667,0.21433333333333332,NA,NA,NA
PE,Puna,T,ABN7213,2019,April,2019-04-10,1,ACJ,C,3,Forb,Asteraceae,Senecio rhizomathus,Senecio,rhizomathus,4,8,1,1,0.268,0.045,7.7573,172.38444444444445,0.16791044776119401,0.31433333333333335,NA,NA,NA
PE,Puna,T,ABO4397,2019,April,2019-04-10,1,ACJ,C,3,Forb,Asteraceae,Senecio rhizomathus,Senecio,rhizomathus,5,16,1,1,0.111,0.017,3.5284,207.55294117647057,0.15315315315315317,0.272,NA,NA,NA
PE,Puna,T,ABQ3728,2019,April,2019-04-10,1,ACJ,C,5,Gramminoid,Juncaceae,Luzula racemosa,Luzula,racemosa,3,22,2,2,0.08,0.0155,4.34465,280.29999999999995,0.19375,0.14133333333333334,NA,NA,NA
PE,Puna,T,ABR9697,2019,April,2019-04-10,1,ACJ,C,5,Gramminoid,Juncaceae,Luzula racemosa,Luzula,racemosa,4,13,2,2,0.083,0.0185,4.3386,234.5189189189189,0.2228915662650602,0.126,NA,NA,NA
PE,Puna,T,ABS9288,2019,April,2019-04-10,1,ACJ,C,5,Gramminoid,Juncaceae,Luzula racemosa,Luzula,racemosa,2,22,3,2,0.15,0.0525,5.64695,107.56095238095239,0.35,0.16133333333333333,NA,NA,NA
PE,Puna,T,ABT3839,2019,April,2019-04-10,1,ACJ,C,5,Gramminoid,Juncaceae,Luzula racemosa,Luzula,racemosa,5,22,2,2,0.0945,0.0385,3.9573,102.78701298701299,0.4074074074074074,0.17766666666666667,NA,NA,NA
PE,Puna,T,ABV8366,2019,April,2019-04-10,1,ACJ,C,5,Gramminoid,Juncaceae,Luzula racemosa,Luzula,racemosa,1,15,2,2,0.1785,0.05,8.2151,164.302,0.2801120448179272,0.19266666666666668,NA,NA,NA
PE,Puna,T,ABX2142,2019,April,2019-04-10,1,ACJ,C,3,Forb,Asteraceae,Senecio rhizomathus,Senecio,rhizomathus,3,13,1,1,0.389,0.045,12.1469,269.93111111111114,0.11568123393316194,0.262,NA,NA,NA
PE,Puna,T,ABY8371,2019,April,2019-04-10,1,TRE,C,1,Gramminoid,Poaceae,Calamagrostis cf. amoena,Calamagrostis,cf. amoena,1,59,1,1,0.278,0.135,3.81,28.22222222222222,0.4856115107913669,0.47933333333333333,NA,NA,NA
PE,Puna,T,ABZ5093,2019,April,2019-04-10,1,TRE,C,1,Gramminoid,Poaceae,Calamagrostis cf. amoena,Calamagrostis,cf. amoena,2,42,1,1,0.237,0.095,3.0122,31.70736842105263,0.40084388185654013,0.432,NA,NA,NA
PE,Puna,T,ACA7678,2019,April,2019-04-10,1,TRE,C,1,Gramminoid,Poaceae,Calamagrostis cf. amoena,Calamagrostis,cf. amoena,5,32,1,1,0.151,0.07,2.6183,37.40428571428571,0.4635761589403974,0.473,NA,NA,NA
PE,Puna,T,ACB4290,2019,April,2019-04-10,1,TRE,C,1,Gramminoid,Poaceae,Calamagrostis cf. amoena,Calamagrostis,cf. amoena,3,31,1,1,0.064,0.028,1.8348,65.52857142857142,0.4375,0.324,NA,NA,NA
PE,Puna,T,ACC1239,2019,April,2019-04-10,1,TRE,C,1,Gramminoid,Poaceae,Calamagrostis cf. amoena,Calamagrostis,cf. amoena,4,34,1,1,0.186,0.07,4.0873,58.38999999999999,0.37634408602150543,0.394,NA,NA,NA
PE,Puna,T,ACI5990,2019,April,2019-04-10,1,ACJ,C,3,Forb,Asteraceae,Senecio rhizomathus,Senecio,rhizomathus,1,15,1,1,0.487,0.086,11.8688,138.00930232558142,0.17659137577002051,0.2733333333333333,NA,NA,NA
PE,Puna,T,ACJ5143,2019,April,2019-04-10,1,ACJ,C,3,Forb,Asteraceae,Senecio rhizomathus,Senecio,rhizomathus,2,16,1,1,0.665,0.103,18.0565,175.30582524271844,0.15488721804511277,0.284,NA,NA,NA
PE,Puna,T,ADA3602,2019,April,2019-04-10,1,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,2,22,1,1,0.302,0.143,7.1331,49.88181818181818,0.4735099337748344,0.4666666666666667,NA,NA,NA
PE,Puna,T,ADB6808,2019,April,2019-04-10,1,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,3,2,2,1.12,0.0465,2.77475,59.67204301075269,0.04151785714285714,0.47433333333333333,NA,NA,NA
PE,Puna,T,ADC7605,2019,April,2019-04-10,1,TRE,C,1,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,2,28,6,6,0.011833333333333333,0.0045,0.46038333333333337,102.30740740740742,0.38028169014084506,0.32566666666666666,NA,NA,NA
PE,Puna,T,ADE6998,2019,April,2019-04-10,1,TRE,C,1,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,3,16,8,8,0.011875,0.006625,0.4196875,63.34905660377358,0.5578947368421052,0.364,NA,NA,NA
PE,Puna,T,ADH3546,2019,April,2019-04-10,1,TRE,C,1,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,1,23,8,8,0.014375,0.0075,0.3828875,51.05166666666667,0.5217391304347826,0.5083333333333333,NA,NA,NA
PE,Puna,T,ADJ2129,2019,April,2019-04-10,1,TRE,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,3,4,3,3,0.09933333333333333,0.043666666666666666,2.5738666666666665,58.94351145038168,0.43959731543624164,0.43733333333333335,NA,NA,NA
PE,Puna,T,ADO1230,2019,April,2019-04-10,1,TRE,C,1,Forb,Gentianaceae,Gentiana sedifolia,Gentiana,sedifolia,2,11,NA,10,0.0012000000000000001,7e-4,0.07488,106.97142857142858,0.5833333333333333,0.13633333333333333,NA,NA,NA
PE,Puna,T,ADQ3617,2019,April,2019-04-10,1,TRE,C,1,Forb,Gentianaceae,Gentiana sedifolia,Gentiana,sedifolia,3,12,NA,22,0.0016818181818181817,0.001,0.09193636363636365,91.93636363636365,0.5945945945945946,0.17733333333333334,NA,NA,NA
PE,Puna,T,ADS7959,2019,April,2019-04-10,1,TRE,C,1,Forb,Gentianaceae,Gentiana sedifolia,Gentiana,sedifolia,4,9,NA,10,0.001,0,0.055310000000000005,Inf,0,0.12466666666666666,NA,NA,NA
PE,Puna,T,ADV0573,2019,April,2019-04-10,1,ACJ,C,1,Forb,Orchidaceae,Cyrtochilum mystacinum,Cyrtochilum,mystacinum,1,16,1,1,0.512,0.072,12.6542,175.7527777777778,0.140625,0.419,NA,NA,NA
PE,Puna,T,ADW1442,2019,April,2019-04-10,1,ACJ,C,1,Forb,Orchidaceae,Cyrtochilum mystacinum,Cyrtochilum,mystacinum,3,22,1,1,1.662,0.217,28.4864,131.273732718894,0.1305655836341757,0.6266666666666667,NA,NA,NA
