year,season,month,site,treatment,plot_id,family,functional_group,taxon,cover,burn_year,elevation,latitude,longitude,course
2018,wet_season,March,ACJ,B,1,Asteraceae,Forb,Hieracium cf. mandonii,0.5,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Asteraceae,Woody,Baccharis genistelloides,0.5,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Asteraceae,Woody,Baccharis tricuneata,0.5,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Cyperaceae,Graminoid,Carex pichinchensis,1,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Cyperaceae,Graminoid,Rhynchospora macrochaeta,0.5,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Ericaceae,Woody,Gaultheria glomerata,1,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Ericaceae,Woody,Gaultheria vaccinioides,3,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Ericaceae,Woody,Pernettya prostrata,1,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Ericaceae,Woody,Vaccinium floribundum,5,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Gentianaceae,Forb,Gentiana sedifolia,0.5,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Gentianaceae,Forb,Halenia umbellata,1,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Hypericaceae,Woody,Hypericum andinum,0.5,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Lycopodiaceae,Fern,Lycopodium clavatum,20,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Melastomataceae,Woody,Miconia rotundifolia,1,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Poaceae,Graminoid,Agrostis mertensii,0.5,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Poaceae,Graminoid,Calamagrostis tarmensis,60,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Poaceae,Graminoid,Festuca dolichophylla,1,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Poaceae,Graminoid,Paspalum bonplandianum,3,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Pteridaceae,Fern,Eriosorus cheilanthoides,0.5,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,1,Rubiaceae,Forb,Galium corymbosum,0.5,2005,3444.1,-13.169344,-71.634001,PFTC3
2018,wet_season,March,ACJ,B,2,Asteraceae,Forb,Chaptalia cordata,0.5,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Asteraceae,Forb,Hieracium cf. mandonii,0.5,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Bromeliaceae,Forb,Puya leptostachya,3,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Cyperaceae,Graminoid,Carex pygmaea,7,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Cyperaceae,Graminoid,Oreobolus venezuelensis,0.5,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Cyperaceae,Graminoid,Rhynchospora macrochaeta,2,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Ericaceae,Woody,Gaultheria glomerata,0.5,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Ericaceae,Woody,Pernettya prostrata,0.5,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Ericaceae,Woody,Vaccinium floribundum,12,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Gentianaceae,Forb,Halenia umbellata,0.5,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Juncaceae,Graminoid,Luzula racemosa,0.5,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Melastomataceae,Woody,Miconia rotundifolia,0.5,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Poaceae,Graminoid,Calamagrostis tarmensis,60,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Poaceae,Graminoid,Festuca dolichophylla,0.5,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Poaceae,Graminoid,Paspalum bonplandianum,5,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Polypodiaceae,Fern,Melpomene moniliformis,1,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Pteridaceae,Fern,Eriosorus cheilanthoides,1,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,2,Rosaceae,Forb,Lachemilla jamesonii,0.5,2005,3444.2,-13.169347,-71.634004,PFTC3
2018,wet_season,March,ACJ,B,3,Asteraceae,Forb,Chaptalia cordata,0.5,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Asteraceae,Woody,Baccharis genistelloides,0.5,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Cyperaceae,Graminoid,Carex pichinchensis,1,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Cyperaceae,Graminoid,Carex pygmaea,0.5,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Cyperaceae,Graminoid,Rhynchospora macrochaeta,2,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Ericaceae,Woody,Gaultheria glomerata,1,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Ericaceae,Woody,Pernettya prostrata,0.5,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Ericaceae,Woody,Vaccinium floribundum,0.5,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Gentianaceae,Forb,Halenia umbellata,1,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Lycopodiaceae,Fern,Lycopodium clavatum,0.5,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Melastomataceae,Woody,Miconia rotundifolia,1,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Poaceae,Graminoid,Agrostis mertensii,0.5,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Poaceae,Graminoid,Calamagrostis tarmensis,50,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Poaceae,Graminoid,Cortaderia bifida,25,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Poaceae,Graminoid,Festuca dolichophylla,0.5,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Poaceae,Graminoid,Paspalum bonplandianum,4,2005,3446.3,-13.169447,-71.634022,PFTC3
2018,wet_season,March,ACJ,B,3,Pteridaceae,Fern,Eriosorus cheilanthoides,0.5,2005,3446.3,-13.169447,-71.634022,PFTC3
